,,Birthplace,Other Cities,County,education,adult residence,place of burial,Lifespan,,Colors,,,,
"Percy, Walker",Walker Percy,Birmingham,Birmingham,Jefferson and Tuscaloosa,,,,1916-1990,,,,,,
"Pyrnelle, Louise Clark",Louise Clark Pyrnelle,Ittabena Plantation near Uniontown," Montgomery, Selma, Browns, and Birmingham"," Perry, Montgomery Dallas,and Jefferson ","Montgomery, Montgomery ", Browns and Birmingham,"Birmingham,Alabama ",1850-1907,,,,,,
"Raines, Howell",Howell Raines,Birmingham ,Tuscaloosa,Jefferson and Tuscaloosa,"Birmingham, Jefferson and Tuscaloosa, Tuscaloosa",Birmingham and Tuscaloosa,,-1943,,,,,,
"Rayford, Julian Lee",Julian Lee Rayford,Mobile,"Chickasaw, Prichard, and Birmingham",Mobile and Jefferson ," Birmingham, Jefferson County",Mobile,,1908-1980,,,,,,
"Richards, Judith",Judith Richards,#null,"Montgomery, Mobile, and Fairhope","Montgomery, Mobile, and Baldwin ",,"Montgomery, Mobile, and Fairhope",,-1942,,,,,,
"Risley, Eleanor de la Vergne",Eleanor de la Vergne Risley,#null,Fairhope,Baldwin ,,Fairhope,,1867-1945,,,,,,
"Rodgers, Catherine",Catherine Rodgers,Camp Hill," Montevallo,  Auburn, Talladega, and Tuscaloosa","Tallapoosa, Shelby, Lee, Talladega, and Tuscaloosa "," Montevallo, Shelby County; Auburn, Lee County; Tuscaloosa, Tuscaloosa County",Camp Hill and Talladega," Auburn, Lee County",1916-2004,,,,,,
"Royall, Anne", Anne Royall,#null,"Huntsville, Montgomery, Mobile, Courtland, Moulton, Florence, and St. Stephens","Madison, Montgumery, Mobile, Lawerence, Lauderdale, and Washington",,Huntsville,,1769-1854,,,,,,
"Ryan, Father Abram J.",Father Abram J. Ryan,#null,Mobile ,Mobile,,Mobile,"Mobile, Alabama ",1838-1886,,,,,,
"Sanchez, Sonia",Sonia Sanchez,Birmingham,#null,Jefferson,,,,-1934,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=53,,,,,
"Sanguinetti, Elise",Elise Sanguinetti,Anniston , Tuscaloosa ,Calhoun and Tuscaloosa ,"Tuscaloosa, Tuscaloosa ",Anniston,,1926-2014,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=143,,,,,
"Searcy, Margaret Zehmer",Margaret Zehmer Searcy,Tuscaloosa,Tuscaloosa,Tuscaloosa,"Tuscaloosa, Tuscaloosa",Tuscaloosa,"Tuscaloosa, Alabama ",1926-2017,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=166,,,,,
"Sibley, Celestine",Celestine Sibley,#null,Mobile and Creola,Mobile,"Mobile, Mobile",Mobile,,1917-1999,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=131,,,,,
"Siddons, Anne Rivers",Anne Rivers Siddons,#null,Auburn,Lee,"Auburn, Lee",,,1936-2019,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=172,,,,,
"Sledge, E.B.",E.B. Sledge,Mobile,"Marion, Auburn, and Montevallo","Mobile, Perry, Lee, and Shelby ","Marion, Perry; Auburn, Lee ",Montevallo,"Montevallo, Alabama",1923-2001,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=18,,,,,
"Smith, Lee",Lee Smith,#null,Birmingham and Tuscaloosa , Jefferson and Tuscaloosa,,Tuscaloosa,,-1944,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=173,,,,,
"Sorenson, Virginia",Virginia Sorenson,#null,Auburn,Lee,,Auburn,,1912-1991,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=179,,,,,
"Stanley, Marie",Marie Stanley,Mobile ,Spring Hill,Mobile ,,Mobile and Spring Hill,,1885-1936,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=81,,,,,
"Sterne, Emma Gelders",Emma Gelders Sterne,Birmingham,#null, Jefferson,,"Birmingham, Jefferson",,1894-1971,http://www.lib.ua.edu/Alabama_Authors/?p=2102,,,,,
"Still, James", James Still,#null,"LaFayette, Shawmut, Jarrett Station, and Fairfax",Chambers,"Fairfax, Chambers ",,,1906-2001,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=35,,,,,
"Stribling, T.S.",T.S. Stribling,#null,"Gravelly Springs, Florence, and Tuscaloosa", Lauderdale and Tuscaloosa," Tuscaloosa, Tuscaloosa","Florence, Lauderdale; Tuscaloosa, Tuscaloosa ","Florence, Alabama",1881-1965,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=37,,,,,
"Strode, Hudson",Hudson Strode,#null,Demopolis and  Tuscaloosa,Marengo and Tuscaloosa ,"Tuscaloosa, Tuscaloosa","Tuscaloosa, Tuscaloosa",,1892-1976,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=126,,,,,
"Stroud, Oxford S.",Oxford S. Stroud,Demopolis,"Linden, Camden, and Auburn"," Marengo, Wilcox, and Lee ","Auburn, Lee ","Camden, Wilcox; Auburn, Lee ",,1924-2002,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=83,,,,,
"Talese, Gay",Gay Talese,#null,Tuscaloosa,Tuscaloosa," Tuscaloosa, Tuscaloosa",,,-1932,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=162,,,,,
"Taliaferro, H.E.",H.E. Taliaferro,#null,Talladega and Tuskegee,Talladega and Macon,,"Talladega, Talladega; Tuskegee, Macon",,1811-1875,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=183,,,,,
"Tarry, Ellen",Ellen Tarry,Birmingham,Montgomery  and Anniston," Jefferson, Montgomery, and Calhoun ","Montgomery, Montgomery ","Birmingham, Jefferson ; Anniston, Calhoun ",,1906-2008,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=181,,,,,
"Tartt, Ruby Pickens",Ruby Pickens Tartt,Livingston,York, Sumter ,"Livingston, Sumter ","Livingston, Sumter; York, Sumter ","York, Sumter ",1880-1974,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=125,,,,,
"Vines, Howell",Howell Vines,Short Creek,"Hueytown, Tuscaloosa, Montgomery, and Bessemer"," Jefferson, Montgumery, and Tuscaloosa ","Tuscaloosa, Tuscaloosa "," Hueytown, Montgomery, and Bessemer","Hueytown, Jefferson ",1899-1981,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=124,,,,,
"Walker, Margaret",Margaret Walker,Birmingham,Greenville, Jefferson and Butler ,,,,1915-1998,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=54,,,,,
